"precinct","rank1","rank2","rank3"
"MINNEAPOLIS W-3 P-11","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-03","Samantha Pree-Stinson","skipped","skipped"
"MINNEAPOLIS W-3 P-03","Ginger Jentzen","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-08","Tim Bildsoe","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-08","Tim Bildsoe","Samantha Pree-Stinson","skipped"
"MINNEAPOLIS W-3 P-05","Ginger Jentzen","skipped","skipped"
"MINNEAPOLIS W-3 P-07","Ginger Jentzen","Tim Bildsoe","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-07","Steve Fletcher","skipped","skipped"
"MINNEAPOLIS W-3 P-08","Steve Fletcher","Tim Bildsoe","skipped"
"MINNEAPOLIS W-3 P-08","Samantha Pree-Stinson","Ginger Jentzen","Steve Fletcher"
"MINNEAPOLIS W-3 P-05","Steve Fletcher","skipped","skipped"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","Steve Fletcher","skipped"
"MINNEAPOLIS W-3 P-03","Ginger Jentzen","Samantha Pree-Stinson","Steve Fletcher"
"MINNEAPOLIS W-3 P-06","Ginger Jentzen","skipped","skipped"
"MINNEAPOLIS W-3 P-01","Tim Bildsoe","Steve Fletcher","Ginger Jentzen"
"MINNEAPOLIS W-3 P-03","Steve Fletcher","Tim Bildsoe","skipped"
"MINNEAPOLIS W-3 P-06","Steve Fletcher","Ginger Jentzen","skipped"
"MINNEAPOLIS W-3 P-07","Steve Fletcher","Tim Bildsoe","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-07","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-07","Tim Bildsoe","skipped","skipped"
"MINNEAPOLIS W-3 P-07","Steve Fletcher","Ginger Jentzen","Tim Bildsoe"
"MINNEAPOLIS W-3 P-03","Ginger Jentzen","Steve Fletcher","Tim Bildsoe"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","Steve Fletcher","Ginger Jentzen"
"MINNEAPOLIS W-3 P-12","Steve Fletcher","skipped","skipped"
"MINNEAPOLIS W-3 P-04","Steve Fletcher","Ginger Jentzen","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-12","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-06","Ginger Jentzen","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-09","Steve Fletcher","Samantha Pree-Stinson","Ginger Jentzen"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-08","Tim Bildsoe","Samantha Pree-Stinson","skipped"
"MINNEAPOLIS W-3 P-09","Tim Bildsoe","Steve Fletcher","Ginger Jentzen"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","Steve Fletcher","Ginger Jentzen"
"MINNEAPOLIS W-3 P-03","Ginger Jentzen","skipped","skipped"
"MINNEAPOLIS W-3 P-09","Steve Fletcher","Tim Bildsoe","skipped"
"MINNEAPOLIS W-3 P-07","Tim Bildsoe","skipped","skipped"
"MINNEAPOLIS W-3 P-03","Tim Bildsoe","Steve Fletcher","Samantha Pree-Stinson"
"MINNEAPOLIS W-3 P-12","Tim Bildsoe","Ginger Jentzen","Steve Fletcher"
"MINNEAPOLIS W-3 P-01","Steve Fletcher","skipped","skipped"
