"CVR","Precinct","AD","ED","rank1","rank2","rank3","rank4","rank5"
102004,"AD: 43 ED: 047",43,47,"Darlene Mealy","Bianca Cunningham","skipped","skipped","skipped"
102024,"AD: 43 ED: 046",43,46,"Bianca Cunningham","Lawman Lynch","Jamell Henderson","Dante Arnwine","Jammel Thompson"
102035,"AD: 43 ED: 047",43,47,"Lawman Lynch","Jammel Thompson","Clifton A. Hinton","Bianca Cunningham","Dante Arnwine"
102057,"AD: 43 ED: 046",43,46,"Darlene Mealy","skipped","skipped","skipped","skipped"
102075,"AD: 43 ED: 047",43,47,"Lawman Lynch","skipped","skipped","skipped","skipped"
102093,"AD: 43 ED: 047",43,47,"Darlene Mealy","skipped","skipped","skipped","skipped"
102109,"AD: 43 ED: 046",43,46,"Eli Brown","Bianca Cunningham","Lawman Lynch","skipped","skipped"
102113,"AD: 43 ED: 047",43,47,"Darlene Mealy","skipped","skipped","skipped","skipped"
102120,"AD: 43 ED: 046",43,46,"Darlene Mealy","Dante Arnwine","Eli Brown","Lawman Lynch","Bianca Cunningham"
102212,"AD: 43 ED: 047",43,47,"Darlene Mealy","Lawman Lynch","skipped","skipped","skipped"
102303,"AD: 43 ED: 047",43,47,"Darlene Mealy","skipped","skipped","skipped","skipped"
102306,"AD: 43 ED: 048",43,48,"Darlene Mealy","Lawman Lynch","Eli Brown","Bianca Cunningham","Jammel Thompson"
102321,"AD: 43 ED: 047",43,47,"Jammel Thompson","Jamell Henderson","Bianca Cunningham","skipped","skipped"
102339,"AD: 43 ED: 047",43,47,"Dante Arnwine","Darlene Mealy","skipped","skipped","skipped"
102364,"AD: 43 ED: 048",43,48,"Darlene Mealy","Eli Brown","Jammel Thompson","Lawman Lynch","Jamell Henderson"
102382,"AD: 43 ED: 046",43,46,"Darlene Mealy","Bianca Cunningham","Eli Brown","Lawman Lynch","Dante Arnwine"
102417,"AD: 43 ED: 046",43,46,"Darlene Mealy","skipped","skipped","skipped","skipped"
102438,"AD: 43 ED: 046",43,46,"Darlene Mealy","skipped","skipped","skipped","skipped"
102453,"AD: 43 ED: 046",43,46,"Darlene Mealy","skipped","skipped","skipped","skipped"
102471,"AD: 43 ED: 047",43,47,"Darlene Mealy","skipped","skipped","skipped","skipped"
102474,"AD: 43 ED: 048",43,48,"Darlene Mealy","Lawman Lynch","Jammel Thompson","skipped","skipped"
102477,"AD: 43 ED: 047",43,47,"Eli Brown","skipped","skipped","skipped","skipped"
102488,"AD: 43 ED: 048",43,48,"Darlene Mealy","skipped","skipped","skipped","skipped"
102497,"AD: 43 ED: 047",43,47,"Dante Arnwine","Jammel Thompson","Eli Brown","Clifton A. Hinton","Lawman Lynch"
102536,"AD: 43 ED: 047",43,47,"Darlene Mealy","Bianca Cunningham","skipped","skipped","skipped"
102568,"AD: 43 ED: 048",43,48,"Lawman Lynch","Clifton A. Hinton","Jammel Thompson","Dante Arnwine","Darlene Mealy"
102578,"AD: 43 ED: 047",43,47,"Jammel Thompson","skipped","skipped","skipped","skipped"
102580,"AD: 43 ED: 046",43,46,"Bianca Cunningham","skipped","skipped","skipped","skipped"
102589,"AD: 43 ED: 046",43,46,"Bianca Cunningham","Dante Arnwine","Lawman Lynch","Jamell Henderson","Jammel Thompson"
102593,"AD: 43 ED: 046",43,46,"Bianca Cunningham","skipped","skipped","skipped","skipped"
102623,"AD: 43 ED: 047",43,47,"Darlene Mealy","Lawman Lynch","Bianca Cunningham","skipped","skipped"
102651,"AD: 43 ED: 047",43,47,"Darlene Mealy","skipped","skipped","skipped","skipped"
102657,"AD: 43 ED: 047",43,47,"Darlene Mealy","Jammel Thompson","Jamell Henderson","Bianca Cunningham","skipped"
102659,"AD: 43 ED: 047",43,47,"Darlene Mealy","Eli Brown","Jamell Henderson","Jammel Thompson","Lawman Lynch"
102676,"AD: 43 ED: 047",43,47,"skipped","skipped","Jammel Thompson","Eli Brown","Darlene Mealy"
102721,"AD: 43 ED: 047",43,47,"Darlene Mealy","Darlene Mealy","Darlene Mealy","Darlene Mealy","Darlene Mealy"
102790,"AD: 43 ED: 051",43,51,"Jammel Thompson","skipped","skipped","skipped","skipped"
