"Precinct","rank1","rank2","rank3"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Kate Knuth","Sheila Nezhad"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Sheila Nezhad","Kate Knuth","AJ Awed"
"MINNEAPOLIS W-12 P-13","Kate Knuth","Sheila Nezhad","Clint Conner"
"MINNEAPOLIS W-12 P-13","Kate Knuth","Sheila Nezhad","Clint Conner"
"MINNEAPOLIS W-12 P-13","Kate Knuth","Sheila Nezhad","Clint Conner"
"MINNEAPOLIS W-12 P-13","Kate Knuth","Sheila Nezhad","Clint Conner"
"MINNEAPOLIS W-12 P-13","Kate Knuth","Sheila Nezhad","Clint Conner"
"MINNEAPOLIS W-12 P-13","Kate Knuth","Sheila Nezhad","Clint Conner"
"MINNEAPOLIS W-12 P-13","Kate Knuth","Sheila Nezhad","Clint Conner"
"MINNEAPOLIS W-12 P-13","Kate Knuth","Sheila Nezhad","Clint Conner"
"MINNEAPOLIS W-12 P-13","Kate Knuth","Sheila Nezhad","Clint Conner"
"MINNEAPOLIS W-12 P-13","Kate Knuth","Sheila Nezhad","Clint Conner"
"MINNEAPOLIS W-12 P-13","skipped","Jacob Frey","skipped"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Bob ""Again"" Carney Jr","Laverne Turner"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Bob ""Again"" Carney Jr","Laverne Turner"
"MINNEAPOLIS W-12 P-13","Jacob Frey","Bob ""Again"" Carney Jr","Laverne Turner"
